issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"If you enabled group mappings during setup and lost admin access, follow the recovery steps in **[Set up JIT or SCIM provisioning](https://support.claude.com/en/articles/13133195-set-up-jit-or-scim-provisioning#h_74979446b3)** under ""I lost Admin/Owner access after enabling group mappings.""",team-and-enterprise-plans,replied,product_issue,"The response is provided directly from the only corpus excerpt that mentions losing access, as required by the 'replied' status. Retrieved with confidence: 0.31"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,The score obtained by the candidate for a particular test and the URL of the test report are sent to the interviewer. This allows the recruiter to share the candidate's test performance with other team members.,general-help,replied,invalid,"The corpus indicates that the score and report are provided to the hiring company but does not contain any information about HackerRank reviewing answers, changing scores, or intervening in hiring decisions. Retrieved with confidence: 0.25"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Thank you for contacting Visa support. Your issue regarding a merchant dispute has been escalated to a human agent for further assistance.,small-business,escalated,product_issue,The request was escalated as it involves a complex merchant dispute and refund request which is not covered by the provided corpus excerpts. Retrieved with confidence: 0.28
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Thank you for contacting HackerRank support. I understand your mock interview stopped unexpectedly and you are requesting a refund. This issue has been escalated to a human agent who can investigate the technical problem and assist with your refund request.,interviews,escalated,bug,"The issue was escalated because the provided corpus does not contain information on refunds or failed mock interviews, requiring human intervention. Retrieved with confidence: 0.45"
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Contact HackerRank support at help@hackerrank.com if you are still facing an issue.,general-help,replied,bug,"The user is directed to contact support via the email address provided in the corpus, as no other relevant information on payment issues is available. Retrieved with confidence: 0.19"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,HackerRank QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your HackerRank profile.,engage,replied,invalid,"The response is based on the only provided corpus excerpt that discusses filling forms, which describes the HackerRank QuickApply browser extension. Retrieved with confidence: 0.34"
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,To review detailed code submissions or evaluate candidates in HackerRank - you need to have a Recruiter or Developer license in HackerRank.,general-help,replied,product_issue,"The user is being replied to with the most relevant excerpt regarding user permissions, as not seeing a feature is likely related to not having the correct license type. Retrieved with confidence: 0.25"
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"You can ensure that none of your tests have a specific setting. For example, if you don't want any of the tests to have video proctoring on, you can disable video proctoring across your tests.",library,replied,product_issue,"The user's issue affects ""none of the submissions"" and the corpus provides an example for ensuring ""none of your tests"" have a specific setting. Retrieved with confidence: 0.29"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Contact HackerRank support at help@hackerrank.com if you are still facing an issue with challenge results.,integrations,replied,bug,The user is instructed to contact support via the provided email address as per the corpus. Retrieved with confidence: 0.21
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"I am sorry, but I cannot provide information on how to reschedule your assessment based on the provided documentation.",general-help,replied,invalid,The provided corpus excerpts do not contain any information regarding the policy or procedure for rescheduling an assessment. Retrieved with confidence: 0.25
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"If no other interviewers are present, the candidate moves to the lobby, and the interview ends automatically after an hour of inactivity.",screen,replied,product_issue,The response is a direct reply based on the corpus excerpt that states an interview ends after one hour of inactivity if no interviewers are present. Retrieved with confidence: 0.34
"it’s not working, help",Help needed,None,Thank you for reaching out. Your issue has been escalated to a human agent for further investigation.,general,escalated,bug,"The user's general bug report could not be answered by the provided corpus excerpts, which only offer a general support contact, thus requiring escalation to a human agent. Retrieved with confidence: 0.34"
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"Click the **three-dot icon** next to the user’s name, select **Remove from Teams**, and confirm the new owner.",interviews,replied,product_issue,The user's request to remove a user can be answered by the corpus excerpt that details how to 'Remove from Teams' via the three-dot icon. Retrieved with confidence: 0.33
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"For more information, see [HackerRank Subscription Plans](https://help.hackerrank.com/articles/9054300007-hackerrank-subscription-plans), [Upgrade Subscription Plan](https://help.hackerrank.com/articles/4312449655-upgrade-subscription-plan), [Downgrade Subscription Plan](https://help.hackerrank.com/articles/5432562533-downgrade-subscription-plan), [Cancel Subscription Plan](https://help.hackerrank.com/articles/6560545309-cancel-subscription-plan).",engage,replied,bug,"The user's request to pause their subscription was answered using the 'Pause Subscription' corpus excerpt, which provides links to related subscription management topics. Retrieved with confidence: 0.55"
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,,troubleshooting,replied,bug,"No provided corpus excerpt addresses the user's issue of a complete service outage, so no user-facing reply can be constructed. Retrieved with confidence: 0.12"
"My identity has been stolen, wat should I do",Identity Theft,Visa,We understand this is a serious matter and have escalated your request to a human agent who can provide the specialized assistance required for identity theft concerns.,consumer,escalated,product_issue,This request was escalated because the corpus does not contain a direct answer for identity theft and the issue requires specialized human support. Retrieved with confidence: 0.30
Resume Builder is Down,Help in creating resume,HackerRank,HackerRank’s Resume Builder allows developers to revamp their professional resumes instantly. This feature is active for 2% of the Community and will soon be expanded to additional users.,general-help,replied,bug,"The request is answered directly as the corpus explains the Resume Builder is only active for 2% of the Community, which addresses why a user may not have access. Retrieved with confidence: 0.78"
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update,HackerRank,"The new certificate takes effect automatically after you update it in the IdP, and the old certificate expires.",skillup,replied,product_issue,"The routing decision is to reply directly, and the provided corpus states that a new certificate takes effect after an update. Retrieved with confidence: 0.45"
How do I dispute a charge,Dispute charge,Visa,"To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card. If you see a charge you don’t recognise or if you notice any inconsistencies, contact your bank immediately. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge.",consumer,replied,product_issue,"The status is 'replied', so I am answering the user's question about disputing a charge directly from the corpus which states to contact their issuer or bank. Retrieved with confidence: 0.41"
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,Thank you for reaching out about this important issue. Your request has been escalated to a human agent who can provide you with the correct next steps for reporting a potential security vulnerability.,troubleshooting,escalated,product_issue,This issue has been escalated because reporting a major security vulnerability requires specialized handling and the provided corpus excerpts had a low retrieval confidence. Retrieved with confidence: 0.34
